secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
140,74,0,0.19162,26.892,0,113,40.2,144.413,-37.8861,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
141,75,0,0.19914,26.5248,0,114,40.2,144.413,-37.886,0,2.66454e-16,25,0,45,0,0,0,0,0,0,0,0
142,75,0,0.20709,26.928,0,114,40.2,144.413,-37.886,0,2.66454e-16,25,0,45,0,0,0,0,0,0,0,0
143,74,0,0.21532,27.8748,0,138,40.2,144.413,-37.8859,0,2.66454e-16,25,0,46,0,0,0,0,0,0,0,0
144,77,0,0.22346,27.9396,0,159,40.2,144.413,-37.8858,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
145,77,0,0.23167,28.2744,0,162,40.2,144.413,-37.8857,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
146,77,0,0.23958,28.3104,0,162,40.2,144.413,-37.8857,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
147,77,0,0.24755,28.3248,0,158,40.2,144.413,-37.8856,0,2.66454e-16,25,0,46,0,0,0,0,0,0,0,0
148,78,0,0.25596,29.4588,0,146,40.2,144.413,-37.8855,0,2.66454e-16,25,0,46,0,0,0,0,0,0,0,0
149,78,0,0.2645,29.52,0,134,40.2,144.413,-37.8854,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
150,80,0,0.273,29.5704,0,128,40.2,144.413,-37.8854,0,2.66454e-16,25,0,45,0,0,0,0,0,0,0,0
151,80,0,0.28206,29.9952,0,128,40.2,144.413,-37.8853,0,2.66454e-16,25,0,45,0,0,0,0,0,0,0,0
152,82,0,0.2913,30.5064,0,129,40.2,144.413,-37.8852,0,2.66454e-16,25,0,46,0,0,0,0,0,0,0,0
153,82,0,0.30006,30.4128,0,129,40.2,144.413,-37.8851,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
154,82,0,0.30884,29.9808,0,127,40.2,144.413,-37.885,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
155,82,0,0.31769,30.384,0,128,40.2,144.413,-37.885,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
156,82,0,0.32651,30.2832,0,129,40.2,144.414,-37.8849,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
157,82,0,0.33502,30.4236,0,128,40.2,144.414,-37.8848,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
158,82,0,0.34369,30.366,0,122,40.2,144.414,-37.8847,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
159,83,0,0.35216,29.3868,0,125,40.2,144.414,-37.8847,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
160,84,0,0.36117,29.9232,0,139,40.2,144.414,-37.8846,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
161,84,0,0.37014,30.294,0,143,40.2,144.414,-37.8845,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
162,84,0,0.37892,30.6576,0,125,40.2,144.414,-37.8844,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
163,85,0,0.38788,30.7008,0,115,40.6,144.414,-37.8843,0,0.446429,25,0,48,0,0,0,0,0,0,0,0
164,85,0,0.39677,30.7656,0,115,41,144.414,-37.8843,0,0.896372,25,0,48,0,0,0,0,0,0,0,0
165,86,0,0.40516,30.1176,0,119,41.4,144.414,-37.8842,0,1.37313,25,0,49,0,0,0,0,0,0,0,0
166,86,0,0.41416,30.6756,0,129,41.8,144.414,-37.8841,0,1.81757,25,0,50,0,0,0,0,0,0,0,0
167,86,0,0.42318,30.7404,0,136,42.4,144.414,-37.884,0,2.48276,25,0,50,0,0,0,0,0,0,0,0
168,86,0,0.43182,31.0536,0,134,42.4,144.414,-37.8839,0,2.48276,25,0,50,0,0,0,0,0,0,0,0
